admin0_code,admin1_code,date,cases,deaths
US,01,2020-03-13,5,0
US,01,2020-03-14,11,0
US,01,2020-03-15,22,0
US,01,2020-03-16,29,0
US,01,2020-03-17,39,0
US,01,2020-03-18,51,0
US,01,2020-03-19,78,0
US,01,2020-03-20,106,0
US,01,2020-03-21,131,0
US,01,2020-03-22,167,0
US,01,2020-03-23,196,0
US,01,2020-03-24,242,0
US,01,2020-03-25,386,1
US,01,2020-03-26,531,1
US,01,2020-03-27,639,2
US,01,2020-03-28,717,3
US,01,2020-03-29,825,4
US,01,2020-03-30,941,6
US,01,2020-03-31,997,13
US,01,2020-04-01,1106,16
US,01,2020-04-02,1270,17
US,01,2020-04-03,1534,21
US,01,2020-04-04,1632,26
US,01,2020-04-05,1840,31
US,01,2020-04-06,2003,32
US,01,2020-04-07,2197,39
US,01,2020-04-08,2497,48
US,01,2020-04-09,2838,48
US,01,2020-04-10,3007,58
US,01,2020-04-11,3262,60
US,01,2020-04-12,3581,61
US,01,2020-04-13,3801,61
US,01,2020-04-14,3951,73
US,01,2020-04-15,4237,75
US,01,2020-04-16,4400,82
US,01,2020-04-17,4515,96
US,01,2020-04-18,4719,110
US,01,2020-04-19,4897,112
US,01,2020-04-20,5074,112
US,01,2020-04-21,5317,141
US,01,2020-04-22,5598,174
US,01,2020-04-23,5825,194
US,01,2020-04-24,6026,208
US,01,2020-04-25,6213,212
US,01,2020-04-26,6417,218
US,01,2020-04-27,6537,227
US,01,2020-04-28,6744,240
US,01,2020-04-29,6916,261
US,01,2020-04-30,7063,269
US,01,2020-05-01,7294,287
US,01,2020-05-02,7611,287
US,01,2020-05-03,7885,289
US,01,2020-05-04,8110,297
US,01,2020-05-05,8436,314
US,01,2020-05-06,8691,341
US,01,2020-05-07,9046,368
US,01,2020-05-08,9384,381
US,01,2020-05-09,9668,388
US,01,2020-05-10,9889,391
US,01,2020-05-11,10164,401
US,01,2020-05-12,10468,438
US,01,2020-05-13,10699,448
US,01,2020-05-14,11094,470
US,01,2020-05-15,11387,482
US,01,2020-05-16,11671,482
US,01,2020-05-17,11768,485
US,01,2020-05-18,12078,486
US,01,2020-05-19,12374,500
US,01,2020-05-20,13049,522
US,01,2020-05-21,13410,529
US,01,2020-05-22,13670,541
US,01,2020-05-23,14152,551
US,01,2020-05-24,14507,558
US,01,2020-05-25,15194,566
US,01,2020-05-26,15648,580
US,01,2020-05-27,16029,583
US,01,2020-05-28,16553,605
US,01,2020-05-29,17031,610
US,01,2020-05-30,17358,618
US,01,2020-05-31,17849,629
US,01,2020-06-01,18246,643
US,01,2020-06-02,18427,650
US,01,2020-06-03,18553,650
US,01,2020-06-04,18766,651
US,01,2020-06-05,19073,670
US,01,2020-06-06,19709,684
US,01,2020-06-07,20166,687
US,01,2020-06-08,20590,712
US,01,2020-06-09,21071,723
US,01,2020-06-10,21626,739
US,01,2020-06-11,22474,750
US,01,2020-06-12,23333,764
US,01,2020-06-13,24220,768
US,01,2020-06-14,25235,768
US,01,2020-06-15,26272,774
US,01,2020-06-16,26912,785
US,01,2020-06-17,27312,790
US,01,2020-06-18,28206,809
US,01,2020-06-19,29002,821
US,01,2020-06-20,29549,838
US,01,2020-06-21,30021,839
US,01,2020-06-22,30453,840
US,01,2020-06-23,31097,864
US,01,2020-06-24,32064,889
US,01,2020-06-25,33206,895
US,01,2020-06-26,34180,906
US,01,2020-06-27,35077,918
US,01,2020-06-28,35430,918
US,01,2020-06-29,37174,929
US,01,2020-06-30,38045,948
US,01,2020-07-01,38962,972
US,01,2020-07-02,40111,985
US,01,2020-07-03,41864,1006
US,01,2020-07-04,42862,1007
US,01,2020-07-05,43951,1007
US,01,2020-07-06,44874,1007
US,01,2020-07-07,45784,1033
US,01,2020-07-08,46962,1058
US,01,2020-07-09,49173,1068
US,01,2020-07-10,50508,1104
US,01,2020-07-11,51947,1114
US,01,2020-07-12,53587,1121
US,01,2020-07-13,55545,1123
US,01,2020-07-14,57254,1164
US,01,2020-07-15,59067,1211
US,01,2020-07-16,61088,1230
US,01,2020-07-17,63091,1264
US,01,2020-07-18,65234,1285
US,01,2020-07-19,67011,1286
US,01,2020-07-20,68891,1291
US,01,2020-07-21,70357,1303
US,01,2020-07-22,71812,1362
US,01,2020-07-23,74211,1393
US,01,2020-07-24,76005,1436
US,01,2020-07-25,78130,1453
US,01,2020-07-26,79294,1471
US,01,2020-07-27,81115,1491
US,01,2020-07-28,82292,1491
US,01,2020-07-29,82366,1538
US,01,2020-07-30,85760,1565
US,01,2020-07-31,87721,1580
US,01,2020-08-01,89347,1603
US,01,2020-08-02,91442,1627
US,01,2020-08-03,92658,1633
US,01,2020-08-04,93702,1666
US,01,2020-08-05,94654,1694
US,01,2020-08-06,96592,1712
US,01,2020-08-07,98299,1733
US,01,2020-08-08,100172,1752
US,01,2020-08-09,101331,1765
US,01,2020-08-10,103008,1794
US,01,2020-08-11,103849,1843
US,01,2020-08-12,104784,1877
US,01,2020-08-13,105557,1884
US,01,2020-08-14,106309,1888
US,01,2020-08-15,107580,1891
US,01,2020-08-16,108433,1893
US,01,2020-08-17,109004,1918
US,01,2020-08-18,110358,1929
US,01,2020-08-19,111462,1939
US,01,2020-08-20,112402,1968
US,01,2020-08-21,112770,1988
US,01,2020-08-22,114532,2010
US,01,2020-08-23,115060,2012
US,01,2020-08-24,116707,2023
US,01,2020-08-25,117240,2035
US,01,2020-08-26,119250,2043
US,01,2020-08-27,121023,2074
US,01,2020-08-28,122183,2105
US,01,2020-08-29,123889,2150
US,01,2020-08-30,125235,2159
US,01,2020-08-31,126058,2179
US,01,2020-09-01,127615,2197
US,01,2020-09-02,128238,2214
US,01,2020-09-03,129284,2230
US,01,2020-09-04,130393,2262
US,01,2020-09-05,131803,2269
US,01,2020-09-06,132313,2270
US,01,2020-09-07,132972,2270
US,01,2020-09-08,133605,2271
US,01,2020-09-09,134416,2278
US,01,2020-09-10,135565,2298
US,01,2020-09-11,136703,2328
US,01,2020-09-12,137646,2344
US,01,2020-09-13,138753,2345
US,01,2020-09-14,139454,2348
US,01,2020-09-15,140156,2382
US,01,2020-09-16,141081,2387
US,01,2020-09-17,141756,2394
US,01,2020-09-18,142861,2419
US,01,2020-09-19,144164,2428
US,01,2020-09-20,144960,2428
US,01,2020-09-21,145776,2430
US,01,2020-09-22,146578,2446
US,01,2020-09-23,147153,2479
US,01,2020-09-24,148227,2484
US,01,2020-09-25,150650,2496
US,01,2020-09-26,151587,2497
US,01,2020-09-27,152317,2497
US,01,2020-09-28,152976,2497
US,01,2020-09-29,153550,2511
US,01,2020-09-30,154699,2530
US,01,2020-10-01,155744,2542
US,01,2020-10-02,156698,2550
US,01,2020-10-03,158380,2558
US,02,2020-03-12,1,0
US,02,2020-03-13,1,0
US,02,2020-03-14,1,0
US,02,2020-03-15,1,0
US,02,2020-03-16,3,0
US,02,2020-03-17,6,0
US,02,2020-03-18,6,0
US,02,2020-03-19,10,0
US,02,2020-03-20,13,0
US,02,2020-03-21,15,0
US,02,2020-03-22,23,0
US,02,2020-03-23,37,0
US,02,2020-03-24,42,0
US,02,2020-03-25,59,1
US,02,2020-03-26,69,1
US,02,2020-03-27,85,2
US,02,2020-03-28,102,2
US,02,2020-03-29,114,3
US,02,2020-03-30,119,3
US,02,2020-03-31,133,3
US,02,2020-04-01,142,3
US,02,2020-04-02,147,3
US,02,2020-04-03,157,3
US,02,2020-04-04,171,5
US,02,2020-04-05,185,7
US,02,2020-04-06,191,7
US,02,2020-04-07,213,6
US,02,2020-04-08,226,7
US,02,2020-04-09,236,7
US,02,2020-04-10,247,7
US,02,2020-04-11,258,8
US,02,2020-04-12,273,8
US,02,2020-04-13,278,8
US,02,2020-04-14,286,9
US,02,2020-04-15,294,9
US,02,2020-04-16,301,9
US,02,2020-04-17,310,9
US,02,2020-04-18,315,9
US,02,2020-04-19,320,9
US,02,2020-04-20,322,9
US,02,2020-04-21,330,9
US,02,2020-04-22,336,9
US,02,2020-04-23,338,9
US,02,2020-04-24,340,9
US,02,2020-04-25,340,9
US,02,2020-04-26,342,9
US,02,2020-04-27,346,9
US,02,2020-04-28,352,9
US,02,2020-04-29,356,9
US,02,2020-04-30,356,9
US,02,2020-05-01,365,9
US,02,2020-05-02,366,9
US,02,2020-05-03,369,9
US,02,2020-05-04,371,9
US,02,2020-05-05,372,9
US,02,2020-05-06,373,10
US,02,2020-05-07,375,10
US,02,2020-05-08,378,10
US,02,2020-05-09,379,10
US,02,2020-05-10,380,10
US,02,2020-05-11,382,10
US,02,2020-05-12,384,10
US,02,2020-05-13,384,10
US,02,2020-05-14,388,10
US,02,2020-05-15,388,10
US,02,2020-05-16,388,10
US,02,2020-05-17,397,10
US,02,2020-05-18,400,10
US,02,2020-05-19,400,10
US,02,2020-05-20,402,10
US,02,2020-05-21,402,10
US,02,2020-05-22,404,10
US,02,2020-05-23,408,10
US,02,2020-05-24,408,10
